"Name","GUID","ProtoFile","CommodityType","DefaultConfigState","DefaultComputationSchedule","DefaultTransmission","DependencyRules1","DependencyRules2","DependencyRules3","DependencyRules4","DependencyRules5","DependencyRules6","DependencyRules7"
"BrightnessAnalysis","ef5e56cc-4803-4160-87d1-c17e17143501","BrightnessAnalysis.proto","Monitor","Enabled","Midnight","","DatatypeType = BuiltInDisplayInfo, RetrievalOptions = HistoricalPeriodic, NeedsHistoricalRetrieval = True, MinimumRequiredSamples = 1",,,,,,
"CameraActivitySessionAnalysis","aaa6f80f-d1ee-4553-9601-1c7e6b5c94b9","CameraActivitySessionAnalysis.proto","Webcam","Enabled","Midnight","","DatatypeType = CameraActivity, RetrievalOptions = HistoricalNonPeriodic, NeedsHistoricalRetrieval = True",,,,,,
"CameraAnalysis","78d77eff-4936-47a0-a28f-49db26c374c3","CameraAnalysis.proto","Webcam","Enabled","Midnight","","DatatypeType = BiosAttributes, RetrievalOptions = HistoricalNonPeriodic, NeedsHistoricalRetrieval = True","DatatypeType = BiosAttributes, RetrievalOptions = Current, NeedsCurrentRetrieval = True, MinimumRequiredSamples = 1","DatatypeType = WindowsUserSettingsInfo, RetrievalOptions = HistoricalNonPeriodic, NeedsHistoricalRetrieval = True","DatatypeType = WindowsUserSettingsInfo, RetrievalOptions = Current, NeedsCurrentRetrieval = True, MinimumRequiredSamples = 1","DatatypeType = CameraInfo, RetrievalOptions = HistoricalNonPeriodic, NeedsHistoricalRetrieval = True","DatatypeType = CameraInfo, RetrievalOptions = Current, NeedsCurrentRetrieval = True, MinimumRequiredSamples = 1",
"ConvertibleSlateModeAnalysis","9091cf82-52d7-4514-8f04-d33583ef38c7","ConvertibleSlateModeAnalysis.proto","DeviceStatus","Enabled","Midnight","","DatatypeType = OsBootInfo, RetrievalOptions = HistoricalNonPeriodic, NeedsHistoricalRetrieval = True","DatatypeType = OsRestartShutdownInfo, RetrievalOptions = HistoricalNonPeriodic, NeedsHistoricalRetrieval = True","DatatypeType = ServiceStatus, RetrievalOptions = HistoricalPeriodic, NeedsHistoricalRetrieval = True, MinimumRequiredSamples = 1","DatatypeType = ConvertibleSlateMode, RetrievalOptions = HistoricalPeriodic, NeedsHistoricalRetrieval = True, MinimumRequiredSamples = 1","DatatypeType = ConvertibleSlateModeChangeEvent, RetrievalOptions = HistoricalNonPeriodic, NeedsHistoricalRetrieval = True",,
"CpuAnalysis","4136acd9-b69f-4b6d-96e7-233932755b33","CpuAnalysis.proto","Cpu","Enabled","Midnight","","DatatypeType = CpuDynamicData, RetrievalOptions = HistoricalPeriodic, NeedsHistoricalRetrieval = True, MinimumRequiredSamples = 1","DatatypeType = CpuStaticInfo, RetrievalOptions = Current, NeedsCurrentRetrieval = True, MinimumRequiredSamples = 1",,,,,
"PackagePowerAnalysis","1e04e14c-f0b3-47aa-aae0-df555113ab72","CpuAnalysis.proto","Cpu","","","","DatatypeType = CpuDynamicPowerData, RetrievalOptions = HistoricalPeriodic, NeedsHistoricalRetrieval = True, MinimumRequiredSamples = 1",,,,,,
"CpuThermalAnalysis","c859ae42-8051-46b5-b9ab-3dd45bd7d9bd","CpuAnalysis.proto","Cpu","Enabled","Midnight","","DatatypeType = CpuThermalData, RetrievalOptions = HistoricalPeriodic, NeedsHistoricalRetrieval = True, MinimumRequiredSamples = 1","DatatypeType = CpuStaticInfo, RetrievalOptions = Current, NeedsCurrentRetrieval = True, MinimumRequiredSamples = 1",,,,,
"CpuPowerAnalysis","c7f0d34f-7149-462f-8070-cc9d6c8c8980","CpuPowerAnalysis.proto","Cpu","Enabled","Midnight","","DatatypeType = CpuDynamicPowerData, RetrievalOptions = HistoricalPeriodic, NeedsHistoricalRetrieval = True, MinimumRequiredSamples = 1","DatatypeType = CpuStaticInfo, RetrievalOptions = Current, NeedsCurrentRetrieval = True, MinimumRequiredSamples = 1",,,,,
"DellApplicationAnalysis","b1f31fe0-8c6b-4a90-9aa5-0642282ffcba","DellApplicationAnalysis.proto","SoftwareInventory","Enabled","Midnight","","DatatypeType = ProcessInformationSet, RetrievalOptions = HistoricalPeriodic, NeedsHistoricalRetrieval = True, MinimumRequiredSamples = 1","DatatypeType = ForegroundApplicationInfo, RetrievalOptions = HistoricalPeriodic, NeedsHistoricalRetrieval = True","DatatypeType = ApplicationCrashEvent, RetrievalOptions = HistoricalNonPeriodic, NeedsHistoricalRetrieval = True","DatatypeType = ApplicationHangEvent, RetrievalOptions = HistoricalNonPeriodic, NeedsHistoricalRetrieval = True","DatatypeType = AIAcceleratorStaticInfo, RetrievalOptions = HistoricalNonPeriodic, NeedsHistoricalRetrieval = True","DatatypeType = EnergyEstimationEngineData, RetrievalOptions = HistoricalNonPeriodic, NeedsHistoricalRetrieval = True","DatatypeType = EnergyEstimationEngineData, RetrievalOptions = Current, NeedsCurrentRetrieval = True, MinimumRequiredSamples = 1"
"DockAnalysis","baed0b6c-b46a-4e17-93fb-f5f0d353e432","DockAnalysis.proto","Dock","Enabled","Midnight","","DatatypeType = DockInfo, RetrievalOptions = HistoricalNonPeriodic, NeedsHistoricalRetrieval = True","DatatypeType = DockStateEvent, RetrievalOptions = HistoricalNonPeriodic, NeedsHistoricalRetrieval = True, MinimumRequiredSamples = 1","DatatypeType = OsBootInfo, RetrievalOptions = HistoricalNonPeriodic, NeedsHistoricalRetrieval = True","DatatypeType = OsRestartShutdownInfo, RetrievalOptions = HistoricalNonPeriodic, NeedsHistoricalRetrieval = True","DatatypeType = ServiceStatus, RetrievalOptions = HistoricalPeriodic, NeedsHistoricalRetrieval = True, MinimumRequiredSamples = 1",,
